,fs,t,y
5677,,336.1781603,1.6015625
5678,,336.1787355,1.5234375
5679,,336.1944587,1.4404296875
5680,,336.230967,1.357421875
5681,,336.2363513,1.26953125
5682,,336.2723961,1.1865234375
5683,,336.2768826,1.123046875
5684,,336.3155767,1.15234375
5685,,336.3180665,1.318359375
5686,,336.3535122,1.6015625
5687,,336.353863,1.8896484375
5688,,336.3752997,2.1923828125
5689,,336.424016,2.4267578125
5690,,336.4243702,2.626953125
5691,,336.4450234,2.7734375
5692,,336.4585399,2.8466796875
5693,,336.5032687,2.861328125
5694,,336.5040428,2.822265625
5695,,336.519091,2.7392578125
5696,,336.5385091,2.6318359375
5697,,336.575287,2.490234375
5698,,336.5757498,2.3779296875
5699,,336.6132252,2.2705078125
5700,,336.6179874,2.1630859375
5701,,336.6532486,2.0703125
5702,,336.6582672,1.982421875
5703,,336.6918091,1.904296875
5704,,336.7122895,1.826171875
5705,,336.7195604,1.7529296875
5706,,336.7362232,1.6845703125
5707,,336.7716733,1.630859375
5708,,336.7770006,1.5771484375
5709,,336.8115858,1.513671875
5710,,336.833711,1.4404296875
5711,,336.8382415,1.3623046875
5712,,336.872973,1.279296875
5713,,336.8936636,1.2060546875
5714,,336.8991927,1.142578125
5715,,336.9154947,1.083984375
5716,,336.9370295,1.0888671875
5717,,336.9824442,1.1962890625
5718,,336.9828428,1.435546875
5719,,336.9984576,1.7236328125
5720,,337.0442444,2.03125
5721,,337.0445908,2.2705078125
5722,,337.0752776,2.470703125
5723,,337.0798106,2.6220703125
5724,,337.0962685,2.6904296875
5725,,337.1339849,2.7197265625
5726,,337.1390279,2.685546875
5727,,337.1843074,2.6123046875
5728,,337.1848925,2.509765625
5729,,337.1976717,2.3974609375
5730,,337.2332856,2.294921875
5731,,337.255541,2.1923828125
5732,,337.2591141,2.1142578125
5733,,337.2965419,2.03125
5734,,337.2971112,1.97265625
5735,,337.3166159,1.9287109375
5736,,337.3536436,1.884765625
5737,,337.3876166,1.845703125
5738,,337.3879654,1.8115234375
5739,,337.4018038,1.7919921875
5740,,337.4214701,1.767578125
5741,,337.4556096,1.728515625
5742,,337.4609772,1.6748046875
5743,,337.4769042,1.611328125
5744,,337.5125514,1.5283203125
5745,,337.5424445,1.4404296875
5746,,337.5428942,1.3427734375
5747,,337.5591431,1.240234375
5748,,337.5942915,1.142578125
5749,,337.6149922,1.0791015625
5750,,337.6201305,1.1279296875
5751,,337.6372554,1.2841796875
5752,,337.6738031,1.54296875
5753,,337.6941089,1.796875
5754,,337.6988653,2.0361328125
5755,,337.7440233,2.2265625
5756,,337.7443912,2.34375
5757,,337.7597183,2.40234375
5758,,337.7962072,2.4072265625
5759,,337.8012269,2.3779296875
5760,,337.8190365,2.3046875
5761,,337.8537004,2.2265625
5762,,337.8590707,2.1435546875
5763,,337.8785538,2.0556640625
5764,,337.9134038,1.9677734375
5765,,337.9357809,1.8798828125
5766,,337.9402017,1.7822265625
5767,,337.9773039,1.6796875
5768,,337.9826587,1.572265625
5769,,338.023765,1.4501953125
5770,,338.0242074,1.3671875
5771,,338.0386082,1.3037109375
5772,,338.0874775,1.2548828125
5773,,338.0879546,1.2060546875
5774,,338.1195731,1.1767578125
